confidence,text
99.53975677490234,FORM 02
99.6574935913086,ACCOUNT APPLICATION
97.40795135498047,First Name
86.52105712890625,JENNIFER
98.60224914550781,Middle Inital
95.64673614501953,A
99.35536193847656,Last Name
73.29198455810547,P PITT T T
95.37330627441406,Birth Date
95.42481994628906,(mm dd yyy)
72.51284790039062,D f / O 6 / / 966 6
96.91393280029297,Social SecuntyNumber
69.42599487304688,F/9406442 9 0
97.71720886230469,KINDLY REQUEST TO OPEN (CHECK ONLY ONE)
97.94189453125,Settlement Account
96.44422149658203,Call Deposit Account
94.53031921386719,In the Currency (Enter Currency Code)
95.5724868774414,840
99.29020690917969,Card Account
98.69097137451172,"""ZETA Bank"" Account"
95.61196899414062,Settiement Account
96.44147491455078,Call Deposit Account
99.25798797607422,2
97.44425201416016,In the Currency (Enter Currency Code)
99.33966064453125,Card Account
87.66712951660156,"""ZETA ZETABank"" Bank"" Account"
98.14228057861328,Setfiement Account
96.66461944580078,Call Deposit Account
99.3698501586914,3
99.62931060791016,In the Currency (Enter Currency Code)
99.52945709228516,Card Account
96.76720428466797,"""ZETA Bank"" Account"
96.24876403808594,Settlement Account
99.28246307373047,4
99.28290557861328,Call Deposit Account
98.8942642211914,In the Currency (Enter Currency Code)
99.6333999633789,Card Account
91.06902313232422,"""ZETA Bank"" Account"
99.19645690917969,Document Date
67.37069702148438,O / 02 02/20o4 / 2 O
84.68504333496094,JPi
86.71173095703125,(mm dd y)
95.9519271850586,(Signature
99.52455139160156,FOR BANK USE ONLY
99.57962799072266,Security
99.90900421142578,Approved
98.60214233398438,Not Approved
67.16114044189453,Lora Vorhe/
98.71034240722656,Approva Date
70.32726287841797,05 J 2 0o
99.18233489990234,Refusal Code
97.16614532470703,(Signature)
92.14391326904297,(mm dd yyy)
99.49795532226562,Privafe Customer Service
99.69815826416016,ACCOUNTS OPENED
97.93163299560547,1
53.34593200683594,3 3700/ O 5 700P 7F 663405/
63.84224319458008,29 2 9 /
99.90556335449219,2
99.93745422363281,3
99.90089416503906,4
99.90292358398438,Date
64.52210998535156,BsoHie dol.son
90.99678039550781,(mm dd yyw)
83.21403503417969,/ 05 / 2004
96.2579574584961,(Sgnature)
89.68451690673828,2 5 2 9 1 4 1
66.08174133300781,6 7 7 D 8 O
99.93985748291016,FORM
99.13965606689453,02
99.70563507080078,ACCOUNT
99.6093521118164,APPLICATION
97.1003189086914,First
97.71558380126953,Name
98.9875717163086,Middle
98.2169189453125,Inital
99.28846740722656,Last
99.4222640991211,Name
79.15003204345703,P
83.07011413574219,PITT
51.344520568847656,T
79.60326385498047,T
90.9817123413086,Birth
99.76490783691406,Date
98.34046173095703,(mm
99.32606506347656,dd
88.60792541503906,yyy)
79.46220397949219,D
67.13214874267578,f
82.13349914550781,/
31.523693084716797,O
96.84129333496094,6
78.66462707519531,/
65.97653198242188,/
66.94832611083984,966
83.9333267211914,6
96.65770721435547,Social
97.170166015625,SecuntyNumber
65.144775390625,F/9406442
85.36209106445312,9
57.77110290527344,0
93.31884765625,KINDLY
99.92951965332031,REQUEST
99.01189422607422,TO
99.83419036865234,OPEN
97.37596130371094,(CHECK
97.05879211425781,ONLY
97.49124908447266,ONE)
96.35511016845703,Settlement
99.52867889404297,Account
99.7392807006836,Call
90.75321197509766,Deposit
98.84015655517578,Account
78.60681915283203,In
99.81993865966797,the
94.33667755126953,Currency
99.56810760498047,(Enter
95.08207702636719,Currency
99.76830291748047,Code)
99.02701568603516,Card
99.55339050292969,Account
98.67143249511719,"""ZETA"
97.45339965820312,"Bank"""
99.94808197021484,Account
98.41285705566406,Settiement
92.81108856201172,Account
99.56749725341797,Call
93.28141784667969,Deposit
96.47551727294922,Account
87.544189453125,In
99.92530822753906,the
99.258056640625,Currency
99.32221984863281,(Enter
99.80180358886719,Currency
98.8139419555664,Code)
98.81971740722656,Card
99.85960388183594,Account
89.18936920166016,"""ZETA"
81.35492706298828,"ZETABank"""
80.65048217773438,"Bank"""
99.47374725341797,Account
97.5743408203125,Setfiement
98.71021270751953,Account
99.74189758300781,Call
98.54389190673828,Deposit
91.70806121826172,Account
99.4664077758789,In
99.88491821289062,the
99.8030776977539,Currency
99.10791778564453,(Enter
99.77725219726562,Currency
99.73631286621094,Code)
99.17684936523438,Card
99.88206481933594,Account
98.67264556884766,"""ZETA"
93.14399719238281,"Bank"""
98.48497772216797,Account
94.3715591430664,Settlement
98.12596893310547,Account
99.62568664550781,Call
98.35482025146484,Deposit
99.86821746826172,Account
98.86064147949219,In
99.89735412597656,the
99.84696197509766,Currency
95.2132339477539,(Enter
99.7989501953125,Currency
99.7484359741211,Code)
99.3811264038086,Card
99.88567352294922,Account
95.50096130371094,"""ZETA"
77.90291595458984,"Bank"""
99.8031997680664,Account
99.93367767333984,Document
98.45924377441406,Date
54.094295501708984,O
81.48246002197266,/
79.56623077392578,02
51.44352722167969,02/20o4
68.08094787597656,/
85.92594146728516,2
51.00151443481445,O
98.89496612548828,(mm
85.59651947021484,dd
75.6436996459961,y)
99.72643280029297,FOR
99.690673828125,BANK
98.97478485107422,USE
99.7063217163086,ONLY
97.27935791015625,Not
99.92491912841797,Approved
59.51219177246094,Lora
74.81009674072266,Vorhe/
97.59231567382812,Approva
99.82835388183594,Date
84.57229614257812,05
63.91938781738281,J
94.82218933105469,2
37.99517822265625,0o
99.16101837158203,Refusal
99.20365905761719,Code
98.94803619384766,(mm
93.33333587646484,dd
84.15036010742188,yyy)
98.99365997314453,Privafe
99.82546997070312,Customer
99.67472839355469,Service
99.75092315673828,ACCOUNTS
